,caption,image_file,image_id
0,there is a piece of farmland .,./UCM_Captions/imgs/1.tif,1
1,there is a piece of cropland .,./UCM_Captions/imgs/1.tif,1
2,it is a piece of farmland .,./UCM_Captions/imgs/1.tif,1
3,it is a piece of cropland .,./UCM_Captions/imgs/1.tif,1
4,here is a piece of farmland .,./UCM_Captions/imgs/1.tif,1
5,there is a piece of farmland .,./UCM_Captions/imgs/2.tif,2
6,there is a piece of cropland .,./UCM_Captions/imgs/2.tif,2
7,it is a piece of farmland .,./UCM_Captions/imgs/2.tif,2
8,it is a piece of cropland .,./UCM_Captions/imgs/2.tif,2
9,here is a piece of farmland .,./UCM_Captions/imgs/2.tif,2
10,there is a piece of farmland .,./UCM_Captions/imgs/3.tif,3
11,there is a piece of cropland .,./UCM_Captions/imgs/3.tif,3
12,it is a piece of farmland .,./UCM_Captions/imgs/3.tif,3
13,it is a piece of cropland .,./UCM_Captions/imgs/3.tif,3
14,here is a piece of farmland .,./UCM_Captions/imgs/3.tif,3
15,there is a piece of farmland .,./UCM_Captions/imgs/4.tif,4
16,there is a piece of cropland .,./UCM_Captions/imgs/4.tif,4
17,it is a piece of farmland .,./UCM_Captions/imgs/4.tif,4
18,it is a piece of cropland .,./UCM_Captions/imgs/4.tif,4
19,here is a piece of farmland .,./UCM_Captions/imgs/4.tif,4
20,there is a piece of farmland .,./UCM_Captions/imgs/5.tif,5
21,there is a piece of cropland .,./UCM_Captions/imgs/5.tif,5
22,it is a piece of farmland .,./UCM_Captions/imgs/5.tif,5
23,it is a piece of cropland .,./UCM_Captions/imgs/5.tif,5
24,here is a piece of farmland .,./UCM_Captions/imgs/5.tif,5
25,there is a piece of farmland .,./UCM_Captions/imgs/6.tif,6
26,there is a piece of cropland .,./UCM_Captions/imgs/6.tif,6
27,it is a piece of farmland .,./UCM_Captions/imgs/6.tif,6
28,it is a piece of cropland .,./UCM_Captions/imgs/6.tif,6
29,here is a piece of farmland .,./UCM_Captions/imgs/6.tif,6
30,there is a piece of farmland .,./UCM_Captions/imgs/7.tif,7
31,there is a piece of cropland .,./UCM_Captions/imgs/7.tif,7
32,it is a piece of farmland .,./UCM_Captions/imgs/7.tif,7
33,it is a piece of cropland .,./UCM_Captions/imgs/7.tif,7
34,here is a piece of farmland .,./UCM_Captions/imgs/7.tif,7
35,there is a piece of farmland .,./UCM_Captions/imgs/8.tif,8
36,there is a piece of cropland .,./UCM_Captions/imgs/8.tif,8
37,it is a piece of farmland .,./UCM_Captions/imgs/8.tif,8
38,it is a piece of cropland .,./UCM_Captions/imgs/8.tif,8
39,here is a piece of farmland .,./UCM_Captions/imgs/8.tif,8
40,there is a piece of farmland .,./UCM_Captions/imgs/9.tif,9
41,there is a piece of cropland .,./UCM_Captions/imgs/9.tif,9
42,it is a piece of farmland .,./UCM_Captions/imgs/9.tif,9
43,it is a piece of cropland .,./UCM_Captions/imgs/9.tif,9
44,here is a piece of farmland .,./UCM_Captions/imgs/9.tif,9
45,there is a piece of farmland .,./UCM_Captions/imgs/10.tif,10
46,there is a piece of cropland .,./UCM_Captions/imgs/10.tif,10
47,it is a piece of farmland .,./UCM_Captions/imgs/10.tif,10
48,it is a piece of cropland .,./UCM_Captions/imgs/10.tif,10
49,here is a piece of farmland .,./UCM_Captions/imgs/10.tif,10
50,there is a piece of farmland .,./UCM_Captions/imgs/11.tif,11
51,there is a piece of cropland .,./UCM_Captions/imgs/11.tif,11
52,it is a piece of farmland .,./UCM_Captions/imgs/11.tif,11
53,it is a piece of cropland .,./UCM_Captions/imgs/11.tif,11
54,here is a piece of farmland .,./UCM_Captions/imgs/11.tif,11
55,there is a piece of farmland .,./UCM_Captions/imgs/12.tif,12
56,there is a piece of cropland .,./UCM_Captions/imgs/12.tif,12
57,it is a piece of farmland .,./UCM_Captions/imgs/12.tif,12
58,it is a piece of cropland .,./UCM_Captions/imgs/12.tif,12
59,here is a piece of farmland .,./UCM_Captions/imgs/12.tif,12
60,there is a piece of farmland .,./UCM_Captions/imgs/13.tif,13
61,there is a piece of cropland .,./UCM_Captions/imgs/13.tif,13
62,it is a piece of farmland .,./UCM_Captions/imgs/13.tif,13
63,it is a piece of cropland .,./UCM_Captions/imgs/13.tif,13
64,here is a piece of farmland .,./UCM_Captions/imgs/13.tif,13
65,there is a piece of farmland .,./UCM_Captions/imgs/14.tif,14
66,there is a piece of cropland .,./UCM_Captions/imgs/14.tif,14
67,it is a piece of farmland .,./UCM_Captions/imgs/14.tif,14
68,it is a piece of cropland .,./UCM_Captions/imgs/14.tif,14
69,here is a piece of farmland .,./UCM_Captions/imgs/14.tif,14
70,there is a piece of farmland .,./UCM_Captions/imgs/15.tif,15
